object,Sample.Label,size,distance,Effort
377,2129,1,1.3,20
435,2267,1,0.7,20
446,2313,1,0.5,20
447,2314,1,1,20
448,2314,1,0.8,20
449,2314,1,1.1,20
450,2314,1,0.2,20
451,2314,1,0.2,20
452,2314,1,0.6,20
453,2314,1,1.4,20
454,2314,1,1.8,20
455,2316,1,1.9,20
456,2316,1,3.2,20
457,2322,1,5,20
458,2322,1,5,20
459,2322,1,5,20
460,2322,1,4.2,20
461,2322,1,4,20
463,2335,1,0.8,20
464,2336,1,0.7,20
465,2336,1,0.8,20
466,2336,1,1.1,20
467,2336,1,1.3,20
468,2336,1,0.4,20
469,2336,1,0.3,20
470,2336,1,0,20
471,2336,1,0.1,20
472,2336,1,0.2,20
473,2336,1,0.4,20
474,2336,1,0.7,20
475,2336,1,0.9,20
476,2350,1,0.6,20
477,2353,1,1.3,20
478,2353,1,2.2,20
479,2353,1,6,20
480,2353,1,5,20
481,2353,1,5.5,20
482,2353,1,5,20
483,2353,1,1.7,20
484,2353,1,2.2,20
485,2353,1,3.8,20
488,2358,1,4,20
489,2358,1,5,20
490,2358,1,4.8,20
491,2358,1,4.8,20
493,2359,1,5,20
494,2359,1,9,20
495,2359,1,6,20
496,2359,1,5.5,20
497,2359,1,6,20
498,2359,1,3.2,20
499,2359,1,1.2,20
500,2360,1,1.4,20
501,2360,1,1.8,20
502,2360,1,2.2,20
503,2360,1,3,20
504,2360,1,2.5,20
505,2360,1,1.6,20
506,2360,1,2,20
507,2360,1,2.1,20
508,2361,1,1.2,20
509,2361,1,1.5,20
510,2362,1,0.7,20
511,2362,1,0.3,20
512,2362,1,1.1,20
513,2362,1,0.4,20
514,2362,1,0.9,20
515,2362,1,2.3,20
516,2362,1,0.7,20
518,2373,1,2.1,20
519,2373,1,2.8,20
520,2373,1,3.2,20
521,2373,1,4.8,20
522,2373,1,4,20
523,2373,1,4.3,20
524,2373,1,3.9,20
525,2373,1,2,20
526,2377,1,2,20
527,2377,1,2.8,20
528,2378,1,0.8,20
529,2378,1,1.8,20
530,2397,1,1.9,20
531,2397,1,2.3,20
532,2397,1,3.2,20
533,2397,1,3.1,20
535,2410,1,3.9,20
536,2434,1,1,20
538,2450,1,1.1,20
539,2450,1,1.3,20
540,2450,1,1.6,20
541,2451,1,0.5,20
542,2451,1,0.9,20
543,2453,1,3.9,20
544,2453,1,4.5,20
545,2454,1,2.3,20
546,2455,1,0.5,20
547,2455,1,1.4,20
548,2455,1,1,20
549,2455,1,1.2,20
551,2457,1,2.2,20
552,2457,1,2.4,20
553,2458,1,0.1,20
554,2458,1,0.8,20
555,2466,1,1.5,20
556,2466,1,1.9,20
561,2495,1,3,20
562,2513,1,2,20
563,2513,1,0.9,20
595,2587,1,0.3,20
596,2588,1,1.7,20
597,2588,1,1.8,20
598,2589,1,1.2,20
599,2592,1,5,20
600,2592,1,7,20
601,2592,1,7,20
602,2592,1,9,20
603,2592,1,9,20
604,2593,1,3.6,20
605,2594,1,2.7,20
606,2602,1,3.7,20
607,2602,1,1.7,20
608,2602,1,1.1,20
609,2613,1,4.7,20
610,2613,1,1.2,20
611,2613,1,2.5,20
612,2613,1,2.7,20
614,2613,1,2.2,20
615,2613,1,0.5,20
616,2613,1,0.5,20
617,2613,1,0.6,20
618,2613,1,1.5,20
619,2613,1,10,20
620,2613,1,8.5,20
621,2656,1,0.3,20
622,2656,1,0.4,20
623,2656,1,0.6,20
624,2656,1,2.4,20
625,2657,1,4.2,20
626,2657,1,1.9,20
627,2657,1,3.6,20
628,2657,1,5.2,20
629,2669,1,1.6,20
630,2716,1,0.4,20
631,2716,1,0.3,20
632,2716,1,2.3,20
633,2731,1,0,20
634,2731,1,0.4,20
635,2731,1,2.5,20
640,2864,1,2.1,20
641,2864,1,3.1,20
642,2868,1,0.7,20
643,2875,1,0.6,20
644,2879,1,0.3,20
645,2879,1,0.9,20
646,2886,1,1.5,20
647,2886,1,1.7,20
648,2886,1,1.9,20
649,2888,1,3.8,20
651,2888,1,2.4,20
652,2888,1,0.6,20
653,2888,1,2.5,20
654,2888,1,3.2,20
655,2889,1,3.2,20
656,2889,1,2.9,20
658,2891,1,0.2,20
659,2891,1,1.9,20
660,2891,1,1.5,20
661,2891,1,0.3,20
662,2891,1,0.3,20
663,2891,1,0.6,20
664,2891,1,2.5,20
665,2891,1,1.1,20
666,2891,1,0.2,20
667,2891,1,0.4,20
668,2896,1,2.9,20
669,2896,1,2.8,20
670,2896,1,3.9,20
671,2896,1,0.8,20
672,2896,1,2.5,20
673,2897,1,2.5,20
674,2897,1,1.7,20
675,2903,1,0.6,20
676,2903,1,1.4,20
677,2903,1,1.8,20
678,2903,1,2.4,20
679,2904,1,2.3,20
680,2904,1,1,20
681,2904,1,0.4,20
682,2904,1,0.3,20
687,2904,1,0.4,20
688,2904,1,1.1,20
690,2904,1,1,20
692,2915,1,0.1,20
693,2923,1,0.2,20
694,2923,1,0.5,20
695,2923,1,0.6,20
696,2923,1,0.5,20
697,2923,1,1.4,20
698,2923,1,2.5,20
699,2923,1,2.2,20
700,2923,1,3.5,20
701,2923,1,1.8,20
702,2923,1,1.5,20
703,2923,1,1.6,20
704,2923,1,1.7,20
705,2924,1,0.7,20
706,2925,1,1,20
707,2925,1,1.1,20
708,2925,1,3.6,20
709,2925,1,3.1,20
710,2925,1,1.4,20
711,2925,1,7.7,20
712,2925,1,0.3,20
713,2925,1,0.4,20
714,2927,1,1.6,20
715,2927,1,2.6,20
716,2927,1,1.9,20
717,2929,1,1.8,20
718,2929,1,2.3,20
719,2929,1,3.6,20
720,2929,1,3.7,20
721,2929,1,1.3,20
722,2940,1,0.1,20
726,2940,1,0.4,20
727,2940,1,0.1,20
728,2940,1,1.1,20
729,2941,1,1.3,20
730,2943,1,2.5,20
731,2944,1,3.7,20
732,2944,1,4.7,20
733,2945,1,2.1,20
734,2945,1,3.6,20
735,2945,1,3.1,20
736,2945,1,3,20
737,2945,1,2.3,20
738,2945,1,4.9,20
739,2945,1,4.2,20
740,2989,1,36,20
741,2990,1,0.3,20
742,2992,1,2.3,20
743,2992,1,2.9,20
744,2992,1,3.2,20
745,2992,1,3.5,20
746,2992,1,3.6,20
747,2992,1,2.4,20
748,2995,1,0.4,20
749,2995,1,1.2,20
750,2995,1,0.5,20
751,2995,1,1.3,20
752,2995,1,2.4,20
753,2996,1,3.6,20
754,2996,1,4.2,20
755,3011,1,0.2,20
756,3011,1,0.8,20
757,3022,1,1.8,20
758,3022,1,1.1,20
759,3022,1,1.6,20
760,3022,1,2.5,20
761,3022,1,3.1,20
762,3022,1,3.1,20
763,3022,1,1.9,20
764,3022,1,3.6,20
766,3022,1,2.4,20
765,3023,1,3.6,20
767,3023,1,1.5,20
768,3023,1,2.6,20
769,3023,1,2.4,20
770,3023,1,0.1,20
771,3023,1,0.5,20
772,3023,1,1.9,20
773,3023,1,3.9,20
774,3023,1,2.2,20
775,3023,1,4.8,20
776,3025,1,1.2,20
777,3025,1,1,20
778,3025,1,0.1,20
779,3025,1,0.2,20
780,3025,1,0.2,20
781,3025,1,0.3,20
782,3026,1,0.2,20
783,3026,1,2.4,20
784,3040,1,1.3,20
785,3040,1,2,20
787,3040,1,4.9,20
788,3040,1,4.9,20
789,3040,1,4.8,20
790,3040,1,5.2,20
791,3054,1,0.7,20
792,3115,1,2.5,20
793,3115,1,3.5,20
794,3122,1,0.1,20
798,3129,1,4,20
799,3129,1,3.7,20
800,3129,1,3.5,20
804,3162,1,3.4,20
805,3163,1,1.5,20
806,3170,1,6,20
807,3170,1,5.9,20
808,3170,1,5.6,20
809,3170,1,5.5,20
810,3170,1,5.5,20
811,3171,1,1.5,20
812,3171,1,1.2,20
813,3171,1,1.2,20
815,3172,1,6.5,20
816,3172,1,6.5,20
817,3172,1,2.3,20
818,3172,1,1.9,20
819,3172,1,1.6,20
820,3172,1,1.8,20
821,3172,1,1.7,20
822,3172,1,1.9,20
823,3172,1,1.3,20
824,3172,1,0,20
825,3172,1,0.4,20
826,3172,1,0,20
827,3172,1,1.6,20
828,3172,1,2.2,20
829,3172,1,2.1,20
830,3172,1,2.4,20
831,3172,1,0.3,20
833,3173,1,1.6,20
834,3173,1,1.1,20
835,3173,1,1.2,20
836,3173,1,1.1,20
837,3173,1,1.1,20
838,3173,1,0.9,20
841,3175,1,2.2,20
842,3175,1,3.9,20
843,3175,1,4,20
844,3175,1,4.2,20
845,3175,1,4.8,20
846,3175,1,4.9,20
