join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
3008,TR183,A,-54.59559898,158.910263,197.609329,2018-03-07T01:03:01Z,WHP,B,0.6,D,S,PP,8
3003,TR183,A,-54.59564801,158.910276,196.323654,2018-03-07T01:01:32Z,WHP,B,2,D,S,PP,3
3003,TR183,A,-54.59562798,158.910257,196.339874,2018-03-07T01:01:49Z,WHP,B,0.3,D,S,PP,3
2984,TR182,A,-54.59996997,158.907677,229.672699,2018-03-06T23:53:44Z,WHP,B,1.4,U,S,PP,1
2984,TR182,A,-54.59970896,158.90789,236.795181,2018-03-06T23:56:51Z,WHP,B,0.6,U,S,PP,1
2984,TR182,A,-54.59966697,158.907936,230.770142,2018-03-06T23:57:48Z,WHP,B,1,U,S,PP,1
2984,TR182,A,-54.59973603,158.907877,222.505768,2018-03-06T23:55:56Z,WHP,B,0.5,U,S,PP,1
2985,TR182,A,-54.59934301,158.90822,225.033386,2018-03-07T00:01:07Z,WHP,B,1.2,U,S,PP,1
2987,TR182,A,-54.59886096,158.908535,220.425217,2018-03-07T00:03:40Z,WHP,B,0.5,U,S,PP,1
2998,TR182,A,-54.59966102,158.907939,226.508194,2018-03-06T23:58:14Z,WHP,B,0.9,U,S,PP,8
2998,TR182,A,-54.59951199,158.908123,225.315598,2018-03-07T00:00:13Z,WHP,B,1.3,U,S,PP,8
3000,TR182,A,-54.59668603,158.909562,220.333786,2018-03-07T00:13:20Z,WHP,B,1,D,S,PP,8
2987,TR182,A,-54.59883297,158.908506,219.032654,2018-03-07T00:04:06Z,WHP,B,3,U,S,PP,1
266,TR181,A,-54.609466,158.906664,156.593643,2018-03-06T23:17:09Z,WHP,B,1.2,D,S,PP,8
303,TR197,A,-54.538898,158.874508,158.148911,2018-03-21T02:08:52Z,WHP,B,0.6,D,S,PP,8
289,TR191,C,-54.54795498,158.876913,158.121933,2018-03-20T22:56:52Z,WHP,B,2.4,U,S,PP,1
289,TR191,C,-54.54795197,158.876917,157.008377,2018-03-20T22:56:54Z,WHP,B,2,U,S,PP,1
291,TR191,C,-54.54797502,158.876794,154.114456,2018-03-20T22:55:55Z,WHP,B,1.3,U,S,PP,8
289,TR191,C,-54.54796898,158.8769,156.497482,2018-03-20T22:56:37Z,WHP,B,1.2,U,S,PP,1
289,TR191,C,-54.54799698,158.876954,161.503601,2018-03-20T22:58:12Z,WHP,B,0.9,U,S,PP,1
292,TR191,C,-54.54790897,158.878076,162.18689,2018-03-20T23:00:48Z,WHP,B,0.2,U,S,PP,8
289,TR191,C,-54.547987,158.876937,161.369659,2018-03-20T22:57:29Z,WHP,B,1.2,U,S,PP,1
289,TR191,C,-54.54799203,158.876938,156.480728,2018-03-20T22:57:56Z,WHP,B,1.1,U,S,PP,1
290,TR191,C,-54.54788298,158.88031,136.217545,2018-03-20T23:08:44Z,WHP,B,1.2,D,S,PP,1
293,TR191,C,-54.54855697,158.88151,112.980194,2018-03-20T23:12:20Z,WHP,B,3.5,U,T,PP,8
290,TR191,C,-54.54775902,158.87914,154.758667,2018-03-20T23:04:17Z,WHP,B,3.4,U,S,PP,1
290,TR191,C,-54.54773898,158.879139,155.248398,2018-03-20T23:04:45Z,WHP,B,7.2,U,S,PP,1
296,TR194,A,-54.54036098,158.884137,185.375473,2018-03-21T00:46:23Z,WHP,B,2.7,U,S,PP,2
303,TR197,A,-54.53890102,158.874707,160.353668,2018-03-21T02:07:58Z,WHP,B,0.5,D,S,PP,8
3139,TR192,A,-54.54347704,158.887483,202.620987,2018-03-21T00:05:59Z,WHP,B,1.4,D,S,PP,8
3149,TR192,A,-54.543327,158.886673,188.461182,2018-03-21T00:09:11Z,WHP,B,22,D,S,PP,4
3127,TR191,D,-54.54788399,158.876564,144.441849,2018-03-20T22:53:48Z,WHP,B,0.7,U,T,PP,3
3127,TR191,D,-54.54792799,158.876612,144.445099,2018-03-20T22:54:34Z,WHP,B,1,U,T,PP,3
3116,TR190,A,-54.55023,158.874711,25.107643,2018-03-20T22:02:58Z,WHP,B,3.1,D,S,PP,7
3008,TR183,A,-54.595444,158.910468,194.651794,2018-03-07T01:05:49Z,WHP,B,1.4,D,S,PP,8
3008,TR183,A,-54.595444,158.91046,194.651794,2018-03-07T01:06:08Z,WHP,B,1.6,D,S,PP,8
3008,TR183,A,-54.59544601,158.91044,194.5793,2018-03-07T01:04:50Z,WHP,B,2.2,D,S,PP,8
