join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2638,TR153,A,-54.73772496,158.826695,327.346741,2018-03-02T06:20:38Z,2.6,D,S,JB,2
2638,TR153,A,-54.73773502,158.826682,327.346741,2018-03-02T06:20:43Z,3.2,D,S,JB,2
2640,TR153,A,-54.73914402,158.830776,347.097626,2018-03-02T06:28:12Z,1.4,D,S,JB,2
2640,TR153,A,-54.739142,158.83078,346.58255,2018-03-02T06:28:15Z,1.8,D,S,JB,2
2638,TR153,A,-54.73774097,158.826663,325.761292,2018-03-02T06:21:09Z,6,D,S,JB,2
2640,TR153,A,-54.739113,158.830749,348.073822,2018-03-02T06:27:54Z,1.6,D,S,JB,2
196,TR152,A,-54.731304,158.810157,237.047424,2018-03-02T05:39:11Z,2,U,S,JB,5
196,TR152,A,-54.73130903,158.81016,237.048828,2018-03-02T05:39:14Z,1.4,U,S,JB,5
196,TR152,A,-54.73129696,158.810146,236.567947,2018-03-02T05:39:05Z,2.2,U,S,JB,5
196,TR152,A,-54.73129897,158.81015,237.047424,2018-03-02T05:39:08Z,2.5,U,S,JB,5
196,TR152,A,-54.73130501,158.810213,238.131516,2018-03-02T05:40:18Z,3.5,U,S,JB,5
196,TR152,A,-54.73132303,158.810259,238.146606,2018-03-02T05:40:50Z,3.3,U,S,JB,5
196,TR152,A,-54.73132504,158.8102,237.596756,2018-03-02T05:39:58Z,1.5,U,S,JB,5
196,TR152,A,-54.73130501,158.810217,238.131516,2018-03-02T05:40:16Z,3.4,U,S,JB,5
198,TR152,A,-54.731706,158.810927,259.365967,2018-03-02T05:43:40Z,0.2,U,S,JB,2
198,TR152,A,-54.73171497,158.810931,259.342224,2018-03-02T05:43:43Z,0.3,U,S,JB,2
196,TR152,A,-54.73134298,158.810251,239.178009,2018-03-02T05:41:10Z,2.5,U,S,JB,5
196,TR152,A,-54.73133602,158.810271,239.175766,2018-03-02T05:41:15Z,3.8,U,S,JB,5
198,TR152,A,-54.73171396,158.810941,260.343994,2018-03-02T05:43:59Z,0.4,U,S,JB,2
198,TR152,A,-54.73172201,158.810936,260.86676,2018-03-02T05:44:05Z,1.1,U,S,JB,2
198,TR152,A,-54.73171203,158.810943,259.803375,2018-03-02T05:43:51Z,0.1,U,S,JB,2
198,TR152,A,-54.73170902,158.810944,260.343994,2018-03-02T05:43:55Z,0.9,U,S,JB,2
2618,TR150,A,-54.73017404,158.810429,249.160904,2018-03-02T05:04:16Z,2.7,F,S,PP,8
2618,TR150,A,-54.73017697,158.810379,246.259598,2018-03-02T05:04:32Z,1.2,F,S,PP,8
2618,TR150,A,-54.72999701,158.810871,256.956909,2018-03-02T05:03:04Z,2.2,F,S,PP,8
2618,TR150,A,-54.73017404,158.810428,249.635742,2018-03-02T05:04:11Z,1.4,F,S,PP,8
2618,TR150,A,-54.73017404,158.81037,246.436218,2018-03-02T05:05:12Z,6,F,S,PP,8
